stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
accelerometer_uncalibrated,287043895807304,287043903591650,3,-1.563414,4.750096,8.348581,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043903820742,287043907041729,3,15.632001,-21.201000,-145.979004,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043903820742,287043907253330,3,0.030543,-0.060476,0.040317,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043903820742,287043907659854,3,-1.577779,4.735731,8.293514,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043911834218,287043915576533,3,15.590001,-20.280001,-144.255005,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043911834218,287043915783643,3,0.023824,-0.081245,0.053756,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043911834218,287043916319893,3,-1.527501,4.742914,8.271967,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043919846250,287043925172549,3,17.060001,-19.388000,-141.462006,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043919846250,287043925450947,3,0.015882,-0.111177,0.066584,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043919846250,287043925950596,3,-1.462857,4.745308,8.315063,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043927858710,287043931502002,3,18.845001,-18.755001,-140.829010,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043927858710,287043931706143,3,0.008552,-0.121562,0.073915,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043927858710,287043932083916,3,-1.359907,4.754885,8.367735,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043935870781,287043943120869,3,17.637001,-19.509001,-140.602005,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043935870781,287043943183994,3,0.006109,-0.109956,0.072082,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043935870781,287043943200205,3,-1.259350,4.757279,8.432379,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043943882382,287043947080322,3,16.906000,-19.951000,-141.459000,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043943882382,287043947157393,3,0.006109,-0.078191,0.066584,0.004887,0.003665,0.000000
